,name,id,cv_gt,cv_gk,cv_tk,cv_gtk,tv_gt,tv_gk,tv_tk,tv_gtk,cv_gtkn,cv_gtky,cv_gtkd
2198,Triplicity,56113,0,0,0,1,0,0,0,1,0,1,1
2199,Star Wars: Rebel Assault I + II,33161,0,1,1,0,0,0,1,0,0,0,0
2200,Prince of Persia,2438,0,0,0,0,0,0,0,0,0,0,0
2201,Shadows: Price For Our Sins,16793,0,0,0,0,0,0,0,0,0,0,0
2202,Race the Sun,7876,0,1,0,1,0,1,0,1,1,1,1
2203,Drifting Lands,17835,0,1,0,1,0,0,0,0,1,1,1
2204,Airport Firefighter Simulator 2013,87447,1,0,0,0,0,0,0,0,0,0,0
2205,Drive for Your Life,116722,0,0,0,0,0,0,0,0,0,0,0
2206,rooMaze,29872,0,0,0,0,0,0,0,0,0,0,0
2207,SimCity 4: Deluxe Edition,27891,1,0,1,1,1,0,1,1,1,1,1
2208,Redrum: Dead Diary,30980,0,0,0,0,0,0,0,0,0,0,0
2209,Star Wars: The Force Unleashed II,137,1,1,2,1,1,2,2,2,1,1,1
2210,Mars: War Logs,1830,0,0,0,0,0,0,0,0,0,0,0
2211,Lords of the Realm,12669,0,0,0,0,2,0,0,0,0,0,0
2212,Notch: The Innocent LunA - Eclipsed SinnerS,17877,0,0,0,0,0,0,0,0,0,0,0
2213,Bear With Me: Collector's Edition,84023,0,0,0,0,0,0,0,0,0,0,0
2214,Archangel: Hellfire,36787,0,0,1,0,0,0,1,0,0,0,0
2215,Duke Nukem: Manhattan Project,8505,0,0,0,0,0,0,0,0,0,0,0
2216,Mass Effect: Andromeda - Deluxe Edition,27766,0,0,1,1,0,0,1,1,1,1,1
2217,Spacebase DF-9,5632,0,1,0,1,0,1,0,1,1,1,1
2218,Britannic,127748,0,0,0,0,0,0,0,0,0,0,0
2219,Life is Strange Remastered,144775,0,0,0,0,0,0,0,0,0,0,0
2220,Sunrise survival,43094,0,0,0,0,0,0,0,0,0,0,0
2221,Dragon Ball: Xenoverse,7408,0,1,1,1,0,1,1,1,1,1,1
2222,Super Naughty Maid,119037,0,0,1,0,0,1,1,0,0,0,0
2223,Steamcraft,113835,0,0,0,0,0,0,0,0,0,0,0
2224,The Sims 3: Lucky Palms,14577,0,0,0,0,0,0,0,1,0,0,0
2225,Great Permutator,17762,0,0,0,0,0,0,0,0,0,0,0
2226,"Bury me, my Love",74959,0,0,0,0,0,0,0,0,0,0,0
2227,Gnomes Garden: Halloween,110372,0,0,0,0,0,0,0,0,0,0,0
2228,Moonshot Galaxy,32658,0,0,0,0,0,0,0,0,0,0,0
2229,Sexy Hiking,63138,1,1,0,1,1,1,0,0,1,1,1
2230,You Will Never Get This Achievement,81848,0,0,0,0,0,0,0,0,0,0,0
2231,Mass Effect 3: Omega,13912,0,0,0,0,0,0,0,0,0,0,0
2232,Truck Racer,16719,0,1,0,1,0,1,0,1,1,1,1
2233,Fishing Adventure,120092,1,0,0,1,0,0,0,0,1,1,1
2234,Knights of the Temple: Infernal Crusade,1222,0,0,0,0,0,0,0,0,0,0,0
2235,Vane,11669,0,0,0,0,0,0,0,0,0,0,0
2236,Frog Hop,30021,1,0,0,0,0,0,0,0,0,0,0
2237,Cyborg Invasion Shooter,75018,0,0,0,0,0,0,0,0,0,0,0
2238,Depth Hunter 2: Deep Dive,16642,0,0,0,0,0,0,0,0,0,0,0
2239,Fireflies,34605,0,0,0,0,0,0,0,0,0,0,0
2240,Assassin's Creed Chronicles: Russia,14903,1,6,6,5,2,6,6,5,5,5,5
2241,Fallout 3: Mothership Zeta,10300,0,0,0,0,0,0,0,0,0,0,0
2242,Abyss Odyssey,14414,0,0,0,0,0,0,0,0,0,0,0
2243,Quadrant M4,36981,0,0,0,0,0,0,0,0,0,0,0
2244,Mega Man Legends,1752,0,2,1,1,0,1,1,1,1,1,1
2245,Queen's Quest 2: Stories of Forgotten Past,30424,1,0,1,1,1,0,1,2,1,1,1
2246,Floor Massacre,107727,0,0,0,0,0,0,0,0,0,0,0
2247,8BitBoy,17331,0,0,0,0,0,0,0,0,0,0,0
2248,Frogger,11465,0,1,1,1,0,1,1,1,1,1,1
2249,Circuits,9881,0,0,0,0,0,0,0,0,0,0,0
2250,Teenage Mutant Ninja Turtles,19747,0,0,0,0,0,0,0,0,0,0,0
2251,Guacamelee!: Gold Edition,19121,0,0,0,0,0,0,0,0,0,0,0
2252,Senran Kagura Bon Appétit!,11530,1,0,0,0,1,0,0,0,0,0,0
2253,Burly Men at Sea,24501,0,1,0,0,0,2,0,2,0,0,0
2254,Star Wars Battlefront: Outer Rim,18161,1,0,0,1,1,0,0,0,1,1,1
2255,Diner Bros,97040,0,0,0,0,0,0,0,0,0,0,0
2256,Monster Hunting... For Love!,115436,0,0,0,0,0,0,0,0,0,0,0
2257,Protocol,74225,0,0,0,0,0,0,0,0,0,0,0
2258,Light and Dance VR,29904,0,0,0,0,0,0,0,0,0,0,0
2259,Solitaire,75661,1,1,0,1,1,1,0,1,1,1,1
2260,The Sims 4: Parenthood,28859,0,0,0,0,0,0,0,0,0,0,0
2261,Reach for the Sun,16635,1,0,0,0,1,0,0,0,0,0,0
2262,Planet R-12,26522,0,0,0,0,0,0,0,0,0,0,0
2263,Persona 4 Golden,234702,0,0,0,0,0,0,0,0,0,0,0
2264,Solitaire 3D,89738,0,0,0,0,0,0,0,0,0,0,0
2265,Close Combat : Panthers in the Fog,35328,0,3,2,3,0,3,2,3,3,3,3
2266,The Ship: Remasted,26608,0,0,0,0,0,0,0,0,0,0,0
2267,Other Tanks,30777,0,0,0,0,0,0,0,0,0,0,0
2268,Super Steampunk Pinball 2D,81933,0,0,0,0,0,0,0,0,0,0,0
2269,8-bit Adventure Anthology: Volume I,75162,0,0,0,0,0,0,0,0,0,0,0
2270,Lightrise,34937,0,0,0,0,0,0,0,0,0,0,0
2271,Anno 1404: Venice,8227,1,1,1,1,1,1,1,1,1,1,1
2272,Awe,20352,0,0,0,0,0,0,0,0,1,1,1
2273,Royal Casino: Video Poker,80926,0,0,0,0,0,0,0,0,0,0,0
2274,Cypher: Cyberpunk Text Adventure,64616,0,0,0,0,0,0,0,0,0,0,0
2275,Citizens of Space,119251,0,0,0,0,0,0,0,0,0,0,0
2276,Electronic Super Joy 2,120745,0,0,0,0,0,0,0,0,0,0,0
2277,Hide and Secret Treasure of the Ages,32874,0,0,0,0,0,0,0,0,0,0,0
2278,Darkness and Flame: Born of Fire,31292,1,1,0,1,1,1,0,1,1,1,1
2279,Marvel's Spider-Man: The City That Never Sleeps,109234,0,0,0,0,0,0,0,0,0,0,0
2280,Descent: Freespace - The Great War,669,0,0,0,0,0,0,0,0,0,0,0
2281,Leaf Blower Revolution: Idle Game,141416,1,1,0,1,1,0,0,1,1,1,1
2282,Assault Android Cactus,8644,0,2,2,2,0,2,2,2,2,2,2
2283,Maui Mallard in Cold Shadow,8448,0,0,0,0,0,0,0,0,0,0,0
2284,TrackMania 2: Stadium,9448,0,2,0,2,0,2,0,2,2,2,2
2285,Dragon Quest XI: Echoes of an Elusive Age,11667,0,2,1,2,0,2,1,2,2,2,2
2286,Nevrosa: Primal Ritual,118427,0,0,0,0,0,0,0,0,0,0,0
2287,Downward Spiral: Prologue,29981,0,0,1,0,0,0,1,0,0,0,0
2288,Unmoor,89341,0,0,0,0,0,0,0,0,0,0,0
2289,Pogo,45363,0,0,0,0,0,0,0,0,0,0,0
2290,Ilomilo,7086,0,0,0,0,0,0,0,0,0,0,0
2291,Bold New World,29726,0,0,0,0,0,0,0,0,0,0,0
2292,Helium,33731,0,0,0,0,0,0,0,0,0,0,0
2293,Hot Wheels Unleashed,144072,0,0,0,0,0,0,0,0,0,0,0
2294,Sid Meier's Railroads!,10743,0,0,0,0,0,0,0,0,0,0,0
2295,Pixel Shinobi: Nine demons of Mamoru,28682,0,0,0,0,0,0,0,0,0,0,0
2296,Madballs in Babo: Invasion,8385,0,0,0,0,0,0,0,0,0,0,0
2297,Love ritual,105352,2,0,0,1,2,0,0,1,1,1,1
2298,Race Driver: Grid,2159,1,1,1,1,1,1,1,2,1,1,1
2299,Firefighters: The Simulation,32042,0,0,0,0,0,0,0,1,0,0,0
2300,Diesel Brothers: The Game,105264,0,0,0,0,0,0,0,0,0,0,0
2301,Guilty Gear,9140,1,0,0,0,0,0,0,0,0,0,0
2302,Final Fantasy IX,88970,1,1,1,1,1,1,1,1,1,1,1
2303,Tauronos,50543,0,0,0,0,1,0,0,0,0,0,0
2304,War of the Human Tanks: Limited Operations,11693,0,0,0,0,0,0,0,0,0,0,0
2305,Time Trap: Hidden Objects,51978,0,1,0,0,0,1,0,0,0,0,0
2306,Lex Mortis,26510,1,0,0,0,0,0,0,0,0,0,0
2307,Brutal Doom,126295,1,1,0,1,1,1,0,1,1,1,1
2308,Cowboy zombie,29252,0,0,0,0,0,0,0,0,0,0,0
2309,Lydia,36468,0,0,0,0,0,0,0,0,0,0,0
2310,Forget Me Not: My Organic Garden,35566,0,0,0,0,0,0,0,0,0,0,0
2311,Bass Pro Shops: The Strike,4706,1,0,0,0,1,0,0,0,0,0,0
2312,War in a Box: Paper Tanks,17563,0,0,0,0,0,0,0,0,0,0,0
2313,F1 2015,9272,1,0,0,0,1,0,0,0,0,0,0
2314,The Afterglow of Grisaia,32956,0,0,0,0,0,0,0,0,0,0,0
2315,Sherlock Holmes: The Mystery of the Persian Carpet,14854,0,1,0,2,0,1,0,0,2,2,2
2316,Agents of Mayhem,19440,0,2,2,0,0,1,2,1,0,0,0
2317,Beast Boxing Turbo,14837,0,0,0,0,0,0,0,0,0,0,0
2318,Simple Ball: Extended Edition,32406,0,0,0,0,0,0,0,0,0,0,0
2319,BioShock Infinite: The Complete Edition,41595,1,0,0,0,1,0,0,0,0,0,0
2320,Primal Carnage,3066,0,0,0,0,0,1,0,1,0,0,0
2321,The Stargazers,33478,0,0,0,0,0,0,0,0,0,0,0
2322,Jagged Alliance 2: Wildfire,10466,0,1,0,1,0,0,0,0,1,1,1
2323,Aeon Command,8374,0,0,0,0,0,0,0,0,0,0,0
2324,Airline Tycoon Deluxe,11086,0,1,0,0,0,0,0,0,0,0,0
2325,The Chronicles of Emerland Solitaire,22089,0,0,0,0,0,0,0,0,0,0,0
2326,Castle in the Darkness,9611,0,0,1,0,0,0,1,0,0,0,0
2327,Little Red Lie,44280,0,0,0,0,0,0,0,0,0,0,0
2328,The Sapper,74677,0,0,0,0,0,0,0,0,0,0,0
2329,Hypnocult,121694,0,0,0,0,0,0,0,0,0,0,0
2330,Nancy Drew: The Creature of Kapu Cave,16001,0,7,6,7,0,6,6,6,7,7,7
2331,sZone Online,36250,0,0,0,0,0,0,0,1,0,0,0
2332,Hot Wheels: World's Best Driver,10418,1,1,0,1,1,1,0,1,1,1,1
2333,Silence,115840,1,1,1,2,0,1,1,3,2,2,2
2334,The Golf Club VR,27545,0,0,0,0,0,0,0,0,0,0,0
2335,Hard Truck Apocalypse / Ex Machina,36458,0,0,0,0,0,0,0,0,0,0,0
2336,Illuminascii,11662,1,1,0,1,1,0,0,0,1,1,1
2337,Squirm,89252,0,0,0,0,0,0,0,0,0,0,0
2338,Potion Commotion,130128,0,0,0,0,0,0,0,0,0,0,0
2339,Cube Escape Collection,133416,0,0,1,2,0,0,1,0,2,2,2
2340,The Preposterous Awesomeness of Everything,33658,0,0,0,0,0,0,0,0,0,0,0
2341,Team Sonic Racing,103018,1,1,0,2,1,1,0,2,2,2,2
2342,Macabre,34875,0,0,1,0,0,0,1,0,0,0,0
2343,The Little Ball That Could,55231,0,1,0,0,0,0,0,0,0,0,0
2344,Ninja Cats vs Samurai Dogs,16795,0,0,0,0,0,0,0,0,0,0,0
2345,Pretty Girls Panic!,30181,0,0,0,0,0,0,0,0,0,0,0
2346,4x4 Dream Race,17630,0,0,0,0,0,0,0,0,0,0,0
2347,Enemy Territory: Quake Wars,680,0,3,3,3,0,3,3,3,3,3,3
2348,Fantasy Mosaics 20: Castle of Puzzles,86293,0,0,0,0,0,0,0,0,0,0,0
2349,CrossCells,28924,0,0,0,0,0,0,0,0,0,0,0
2350,Under the Waves,214402,0,0,1,0,0,0,1,0,0,0,0
2351,Microsoft Solitaire Collection,28059,1,1,0,1,1,1,0,1,1,1,1
2352,Titan Quest: Gold Edition,51386,1,1,1,2,1,1,1,2,2,2,2
2353,Pirate Pop Plus,25086,0,0,0,0,0,0,0,0,0,0,0
2354,Alpine Ski VR,30596,0,0,0,0,0,0,0,0,0,0,0
2355,Despair,26646,0,0,0,0,1,0,0,0,0,0,0
2356,Tower Dwellers,33019,0,0,0,0,0,0,0,0,0,0,0
2357,Titan Outpost,113507,1,1,0,1,1,1,0,1,1,1,1
2358,The Caligula Effect: Overdose,75990,1,0,0,1,1,0,0,1,1,1,1
2359,Use Your Words,28113,0,1,2,2,0,1,2,2,2,2,2
2360,Duck Run,87570,0,0,0,0,0,0,0,0,0,0,0
2361,TrainerVR,77166,0,0,1,1,0,0,1,0,1,1,1
2362,Slay the Princess,210395,0,0,0,0,0,0,0,0,0,0,0
2363,Nier: Automata - 3C3C1D119440927,28180,0,1,0,1,0,1,0,0,1,1,1
2364,Brave,36312,0,0,0,0,0,0,0,0,0,0,0
2365,Fritz Chess 16: Steam Edition,95148,0,0,0,0,0,0,0,0,0,0,0
2366,Dandy: Or a Brief Glimpse into the Life of the Candy Alchemist,34975,0,0,0,0,0,0,0,0,0,0,0
2367,Lance A Lot,18948,0,0,0,0,0,0,0,0,0,0,0
2368,HardCube,32302,0,0,0,0,0,0,0,0,0,0,0
2369,Twists of My Life,122798,0,0,0,0,0,0,0,0,0,0,0
2370,Ninja Blade,7121,0,0,0,0,0,0,0,0,0,0,0
2371,Devil Daggers,18081,0,0,0,0,0,0,0,0,0,0,0
2372,Icewind Dale II,876,1,2,2,2,1,2,2,2,2,2,2
2373,Comic Book Hero: The Greatest Cape,33993,0,0,0,0,0,0,0,0,0,0,0
2374,A-Escape VR,31004,0,0,0,0,0,0,0,0,0,0,0
2375,Hypergun,101173,0,1,1,1,0,1,1,1,1,1,1
2376,Hinterland,14913,0,0,0,0,0,1,0,1,0,0,0
2377,SiN Episodes: Emergence,14788,1,0,0,0,1,0,0,0,0,0,0
2378,Fallout 4: Contraptions Workshop,19532,0,0,0,0,0,0,0,0,0,0,0
2379,Trawl,33420,0,0,0,0,1,0,0,0,0,0,0
2380,Hypergalactic Psychic Table Tennis 3000,129705,0,0,0,0,0,0,0,0,0,0,0
2381,Antiquitas,109392,0,0,0,0,0,0,0,0,0,0,0
2382,Dokkaebi Hentai Adventures,88073,0,0,0,0,0,0,0,0,0,0,0
2383,Hard Room,33806,0,0,0,0,0,0,0,0,0,0,0
2384,Trulon: The Shadow Engine,20344,2,2,0,2,2,2,0,2,2,2,2
2385,Seven Kingdoms II: The Fryhtan Wars,860,0,0,0,1,0,0,0,0,1,1,1
2386,Holy Potatoes! A Spy Story?!,96384,0,0,0,0,0,0,0,0,0,0,0
2387,Watch Dogs: Conspiracy,26282,0,0,0,0,0,0,0,1,0,0,0
2388,Rule Your School,30165,0,0,0,0,0,0,0,0,0,0,0
2389,Delicious - Emily's Hopes and Fears,30684,0,0,0,0,0,0,0,0,0,0,0
2390,Rampage Miami,126583,0,0,0,0,0,0,0,0,0,0,0
2391,Robot vs Birds Zombies,34782,0,0,0,0,0,0,0,0,0,0,0
2392,Insane Cold: Back to the Ice Age,76664,0,0,0,0,0,0,0,0,0,0,0
2393,The Artful Escape,25935,0,0,0,0,0,0,0,0,0,0,0
2394,Twisty's Asylum Escapades,31940,2,0,0,1,2,0,0,1,1,1,1
2395,Rome: Total War,438,1,1,1,1,1,1,1,1,1,1,1
2396,SoulCraft,35261,1,0,0,0,0,0,0,0,0,0,0
2397,Classic Sudoku,126741,0,0,0,0,0,0,0,0,0,0,0
2398,Arcania: The Complete Tale,47472,0,0,0,0,0,0,0,0,0,0,0
2399,The Legend of Heroes: Trails in the Sky the 3rd,28101,0,2,2,2,0,2,2,2,1,1,1
2400,Hope Lake,32445,0,0,0,0,0,0,0,0,0,0,0
2401,Wallace & Gromit's Grand Adventures,11307,1,0,0,0,1,0,0,0,0,0,0
2402,Beyond Space,10044,0,0,0,0,0,0,0,0,0,0,0
2403,River City Girls,117533,0,1,0,1,0,1,0,1,1,1,1
2404,Tale of Fortune,115233,0,0,0,0,0,0,0,0,0,0,0
2405,The Brave Mouse,51513,0,0,0,0,0,0,0,0,0,0,0
2406,Convoy,9921,1,0,1,1,0,1,1,1,1,1,1
2407,Swords and Sandals Classic Collection,117173,0,0,0,0,0,0,0,0,0,0,0
2408,The Bottom of the Well,33370,0,0,0,0,0,0,0,0,0,0,0
2409,Dead Rising 3,3199,1,3,2,3,0,3,2,3,3,3,3
2410,Letter Quest: Grimm's Journey,17942,0,0,0,0,0,0,0,0,0,0,0
2411,Hack.88,120788,0,0,0,0,0,0,0,0,0,0,0
2412,Dandy Dungeon: Legend of Brave Yamada,27104,0,0,0,0,0,0,0,0,0,0,0
2413,Blood Bowl: Death Zone,105663,0,0,0,0,0,0,0,0,0,0,0
2414,Pony Island,15734,0,0,0,0,1,0,0,0,0,0,0
2415,Project: Snowblind,5991,0,1,0,0,0,1,0,1,0,0,0
2416,Viki Spotter: Megapolis,86557,0,0,0,0,0,1,0,0,0,0,0
2417,Tower Fortress,75968,0,0,0,0,0,0,0,0,0,0,0
2418,Alien Shooter 2: The Legend,120730,0,0,0,0,0,0,0,0,0,0,0
2419,Ghosts of Miami,51422,0,0,0,0,0,0,0,0,0,0,0
2420,Pseudoregalia,242148,0,0,1,1,0,1,1,1,1,1,1
2421,The Road to Hades,96354,0,0,0,0,0,0,0,0,0,0,0
2422,Gotcha Racing 2nd,95054,0,0,0,0,0,0,0,0,0,0,0
2423,Bass Blocks,34474,0,0,0,0,0,0,0,0,0,0,0
2424,Vietcong: Fist Alpha,464,0,0,0,0,0,0,0,0,0,0,0
2425,Ballistic Tanks,32327,0,0,1,2,0,0,1,1,2,2,2
2426,Sid Meier's Civilization VI: Rise and Fall,76420,0,0,0,0,0,0,0,0,0,0,0
2427,Dungreed,76816,0,0,0,0,0,0,0,0,0,0,0
2428,Twin Mirror,103266,1,0,1,1,1,0,1,0,1,1,1
2429,Rocksmith 2014,3088,0,0,0,0,0,0,0,0,0,0,0
2430,Townscaper,135789,0,0,1,1,0,0,1,0,1,1,1
2431,Doodle Mafia,29367,0,0,0,0,0,1,0,0,0,0,0
2432,Knights Hunt,72501,0,0,0,0,0,0,0,0,0,0,0
2433,Ghost of a Tale,7684,0,0,0,0,0,0,0,0,0,0,0
2434,Project CARS 3,121173,0,0,0,0,0,0,0,0,0,0,0
2435,Crimson Earth,28945,0,0,0,0,0,0,0,0,0,0,0
2436,Dread X Collection,137056,0,0,0,0,0,0,0,0,0,0,0
2437,Alex Kidd in the Enchanted Castle,3217,0,0,0,0,0,0,0,0,0,0,0
2438,Obscuritas,18431,0,0,0,1,0,0,0,1,1,1,1
2439,Need for Speed: Underground 2,97,0,6,6,6,0,6,6,6,6,6,6
2440,One Day for Ched,10647,0,0,0,0,0,0,0,0,0,0,0
2441,Zombie Solitaire 2 Chapter 1,37007,0,0,0,0,0,0,0,0,0,0,0
2442,Instant Death,81999,0,1,0,0,0,1,0,0,0,0,0
2443,Draft Day Sports Pro Basketball 4,17947,0,0,0,0,0,0,0,0,0,0,0
2444,Creeper World,7595,1,0,0,0,0,1,0,0,0,0,0
2445,Saboteur!,112670,0,0,0,0,0,0,0,0,0,0,0
2446,Resident Evil 0,15108,0,0,0,0,0,1,0,0,0,0,0
2447,AquaNox,1997,0,0,0,0,0,0,0,0,0,0,0
2448,The Rose of Segunda,101612,0,0,0,0,0,0,0,0,0,0,0
2449,Hiking Simulator 2017,55491,0,0,0,0,0,0,0,0,0,0,0
2450,Mr. Nibbles Forever,33372,0,0,0,0,0,0,0,0,0,0,0
2451,Black the Fall,17555,0,1,1,0,0,1,1,0,0,0,0
2452,True Love,76455,0,1,3,1,0,3,3,3,1,1,1
2453,Outcast 1.1,36084,0,0,0,0,0,0,0,0,0,0,0
2454,Fibbage XL,33374,0,0,0,1,0,0,0,0,1,1,1
2455,Strategy & Tactics: Wargame Collection,28583,0,0,0,0,0,0,0,0,0,0,0
2456,Queen's Quest: Tower of Darkness,34747,1,1,1,1,1,1,1,1,1,1,1
2457,Street Outlaws: The List,122442,0,0,0,0,0,0,0,0,0,0,0
2458,The Amazing Shinsengumi: Heroes in Love,32318,2,2,2,2,2,2,2,2,2,2,2
2459,Germ Wars,30482,0,0,0,0,0,0,0,0,0,0,0
2460,BlackSmith HIT,31917,0,0,0,0,0,0,0,0,0,0,0
2461,Turbo Pug 3D,31301,0,0,0,0,0,0,0,0,0,0,0
2462,Pixel Traffic: Circle Rush,54875,0,1,0,1,0,1,0,1,1,1,1
2463,The Darkness II,544,0,0,0,0,0,1,0,1,0,0,0
2464,Secret of Mana,55092,0,1,1,1,0,2,1,2,1,1,1
2465,Heroes of the Seven Seas,33673,0,0,1,0,0,0,1,0,0,0,0
2466,Six Ages: Ride like the Wind,57335,0,0,0,0,0,0,0,0,0,0,0
2467,Lemma,17386,0,0,1,0,0,0,1,0,0,0,0
2468,Qop 2,76379,0,0,0,0,0,0,0,0,0,0,0
2469,Assetto Corsa,5597,1,0,0,0,2,0,0,0,0,0,0
2470,Police Simulator: Patrol Officers,152297,0,0,0,0,0,0,0,0,0,0,0
2471,Project Green Beat,36017,0,0,0,0,0,0,0,0,0,0,0
2472,Frozen Synapse,2248,0,0,0,0,0,0,0,0,0,0,0
2473,Batter Up! VR,47167,0,0,0,0,0,0,0,0,0,0,0
2474,How to Take Off Your Mask,35394,0,0,0,0,0,0,0,0,0,0,0
2475,Proto Raider,34889,0,0,0,0,0,0,0,0,0,0,0
2476,Forbidden planet,33722,0,0,1,0,0,0,1,0,0,0,0
2477,Senran Kagura Peach Ball,54521,0,0,2,0,0,0,2,0,0,0,0
2478,The Maker's Eden,9883,0,0,0,0,0,0,0,0,0,0,0
2479,Goetia,18454,1,1,1,1,1,0,1,1,1,1,1
2480,Sparkle Zero,33416,0,0,0,0,0,0,0,0,0,0,0
2481,Funk Unplugged,31623,0,0,0,0,0,0,0,0,0,0,0
2482,Fatehaven,31422,0,0,0,0,0,0,0,0,0,0,0
2483,Lethis: Path of Progress,22672,0,0,0,0,0,0,0,0,0,0,0
2484,Warlocks vs Shadows,36199,0,0,0,0,0,0,0,0,0,0,0
2485,Star Wars: X-Wing - Special Edition,35967,1,0,0,1,1,0,0,1,1,1,1
2486,Driving School Simulator,10248,0,0,0,0,0,0,0,0,0,0,0
2487,Equilinox,111695,0,0,0,0,0,0,0,0,0,0,0
2488,Shogun: Total War - Mongol Invasion,443,2,2,3,3,2,3,3,3,3,3,3
2489,Grandpa's Table,32664,0,0,0,0,0,0,0,0,0,0,0
2490,Stock Car Extreme,16966,0,0,0,0,0,0,0,0,0,0,0
2491,Intrusion 2,6277,0,0,0,0,0,0,0,0,0,0,0
2492,Simple Story: Alex,90395,0,0,0,0,0,0,0,0,0,0,0
2493,Call of Duty: Black Ops II,1122,0,4,4,4,0,3,4,3,4,4,4
2494,Arrog,127144,0,1,0,0,0,0,0,0,0,0,0
2495,Planet of Lana,152071,0,2,1,1,0,0,1,0,1,1,1
2496,Holodaze,32566,0,0,0,0,0,0,0,0,0,0,0
2497,Phoenix Wright: Ace Attorney Trilogy,21610,0,0,0,0,0,0,0,0,0,0,0
2498,Salting the Earth,125111,0,1,1,1,0,1,1,1,1,1,1
2499,Aerofly FS 1 Flight Simulator,28220,0,0,0,0,0,0,0,0,0,0,0
2500,Chaos Sector,110150,0,0,0,0,0,0,0,0,0,0,0
2501,Kingdoms of Amalur: Reckoning - The Legend of Dead Kel,10485,0,0,0,0,0,0,0,0,0,0,0
2502,Fire,10321,1,0,0,0,1,0,0,0,0,0,0
2503,South Park: The Fractured But Whole - From Dusk Till Casa Bonita,96134,0,0,0,0,0,0,0,0,0,0,0
2504,Cards and Castles,35497,0,1,0,1,1,1,0,1,1,1,1
2505,Latte Stand Tycoon,113802,1,1,0,1,1,1,0,1,1,1,1
2506,Bear Haven Nights,33743,0,0,0,0,0,0,0,0,0,0,0
2507,Dragon City,38877,0,0,0,0,0,0,0,0,0,0,0
2508,Save Koch,114808,0,1,0,0,0,0,0,0,0,0,0
2509,The Jackbox Party Pack,11529,3,1,2,1,3,2,2,2,1,1,1
2510,Mind Scanners,139566,1,0,0,2,1,0,0,0,1,1,1
2511,Casino Noir,29607,0,0,0,0,0,0,0,0,0,0,0
2512,Sprint Vector,27506,0,1,1,1,0,1,1,1,0,0,0
2513,Viking Squad,24837,0,1,1,0,0,1,1,1,1,1,1
2514,Bloons TD Battles 2,153002,0,0,0,0,0,0,0,0,0,0,0
2515,Biped,121247,0,0,1,0,0,0,1,0,0,0,0
2516,Biomass,121890,0,0,0,0,0,0,0,0,0,0,0
2517,Heretic: Shadow of the Serpent Riders,8419,0,1,1,2,0,0,1,0,2,2,2
2518,Pixel Boy and the Ever Expanding Dungeon,16836,0,0,0,0,0,0,0,0,0,0,0
2519,Warface,1912,1,1,1,2,0,1,1,1,2,2,2
2520,Table Manners,124000,0,0,0,0,0,0,0,0,0,0,0
2521,Ducati: 90th Anniversary - The Official Videogame,19804,0,1,0,1,0,1,0,1,1,1,1
2522,15 Defense,90474,0,0,0,0,0,0,0,0,0,0,0
2523,Mainframe Defenders,125207,0,0,0,0,0,0,0,0,0,0,0
2524,Blade Kitten,14847,0,0,0,0,0,0,0,0,0,0,0
2525,"Warhammer 40,000: Deathwatch Tyranids Invasion",30804,0,0,0,0,0,0,0,0,0,0,0
2526,Esports Life Tycoon,118522,0,0,0,0,0,0,0,0,0,0,0
2527,Gun,3939,0,0,0,0,0,0,0,0,0,0,0
2528,Stacks TNT,116192,0,0,0,0,0,0,0,0,0,0,0
2529,Mass Exodus Redux,30164,1,0,0,1,1,0,0,0,1,1,1
2530,Tank Operations: European Campaign,16740,0,0,0,0,0,0,0,0,0,0,0
2531,Chroma Shift,110098,0,0,0,0,0,0,0,0,0,0,0
2532,Alien Run,32480,0,0,0,0,0,0,0,0,0,0,0
2533,Katy & Bob: Cake Café,113341,0,0,0,0,0,0,0,0,0,0,0
2534,Blinding Dark,10053,0,0,0,0,0,0,0,0,0,0,0
2535,Pivvot,17285,0,0,0,0,0,0,0,0,0,0,0
2536,Deathlike: Awakening,30089,0,0,0,0,0,0,0,0,0,0,0
2537,Crusader: No Regret,656,1,0,1,0,1,0,1,1,0,0,0
2538,Cities: Skylines II,240902,0,0,0,0,1,0,0,0,0,0,0
2539,Dubstep Abasralsa,102407,0,0,0,0,0,0,0,0,0,0,0
2540,Crimson Gray,43141,0,0,0,0,0,0,0,0,0,0,0
2541,Flyff,12054,0,1,1,1,0,2,1,3,2,2,2
2542,Space Ops VR,117705,0,0,0,0,0,0,0,0,0,0,0
2543,Mount & Blade: Warband,2025,0,0,0,0,0,1,0,1,0,0,0
2544,Slain: Back From Hell,18509,0,0,0,0,0,0,0,0,0,0,0
2545,Horse Racing 2016,38770,0,0,0,0,0,0,0,0,0,0,0
2546,S.T.A.L.K.E.R.: Shadow of Chernobyl,320,1,2,2,2,2,1,2,2,2,2,2
2547,Never Alone: Kisima Ingitchuna,7618,0,0,0,0,0,0,0,0,0,0,0
2548,Effie,111866,0,0,0,0,0,0,0,0,0,0,0
2549,F1 22,198200,0,0,0,0,0,0,0,0,0,0,0
2550,Kimulator : Fight for your destiny,32569,0,0,0,0,0,0,0,0,0,0,0
2551,Heart of Crown PC,76860,0,0,0,0,0,0,0,0,0,0,0
2552,Nobodies,56365,0,1,0,1,0,1,0,1,1,1,1
2553,Cocoon,204627,0,0,0,0,0,0,0,0,0,0,0
