,name,id,cv_gt,cv_gk,cv_tk,cv_gtk,tv_gt,tv_gk,tv_tk,tv_gtk,cv_gtkn,cv_gtky,cv_gtkd
82,Disney Universe,540,0,0,0,0,0,0,0,0,0,0,0
83,Boneworks,115789,0,0,0,0,0,0,0,0,0,0,0
84,Cursed Mountain,4783,0,0,0,0,0,0,0,0,0,0,0
85,The Station,30264,0,0,0,0,0,0,0,1,0,0,0
86,Land Doctrine,29330,0,1,0,1,0,1,0,1,1,1,1
87,Portal Reloaded,145947,0,0,0,0,0,0,0,0,0,0,0
88,Path to Mnemosyne,68450,0,0,0,1,1,0,0,1,1,1,1
89,Bit.Trip Fate,15387,1,1,1,1,1,1,1,1,1,1,1
90,Worms W.M.D,19696,0,0,0,0,0,0,0,0,0,0,0
91,Filament,121885,1,1,0,2,1,1,0,1,2,2,2
92,The Melody of Grisaia,32910,0,0,0,0,0,0,0,0,0,0,0
93,Motorbike Garage Mechanic Simulator,76320,0,0,0,0,0,0,0,0,0,0,0
94,Monsters' Den Chronicles,121171,0,0,0,0,0,0,0,0,0,0,0
95,Mega Overload,29060,0,0,0,0,0,0,0,0,0,0,0
96,Davyria: Heroes of Eternity,29438,0,0,0,0,0,0,0,0,0,0,0
97,Please the Gods,119590,0,0,0,0,0,0,0,0,0,0,0
98,Clea,112617,1,0,1,2,1,0,1,1,2,2,2
99,3SwitcheD,9934,0,0,0,0,0,0,0,0,0,0,0
100,Forgetful Dictator,120083,0,0,0,1,0,0,0,0,1,1,1
101,Operation Flashpoint: Red River,450,2,1,1,2,2,1,1,2,2,2,2
102,Into the Pit,165318,0,1,0,1,0,0,0,0,1,1,1
103,Gal*Gun 2,68279,0,0,0,0,0,0,0,0,0,0,0
104,Metal Gear Rising: Revengeance - Blade Wolf,20111,0,0,0,0,0,0,0,0,0,0,0
105,MovieStarPlanet,94981,0,0,0,0,0,0,0,0,0,0,0
106,Our End of the World,36889,0,0,0,0,0,0,0,0,0,0,0
107,Dimensity,16152,0,0,0,0,0,0,0,0,0,0,0
108,Overlord: Fellowship of Evil,9901,0,0,0,0,0,0,0,0,0,0,0
109,Haydee,24516,0,1,0,1,0,0,0,0,1,1,1
110,The Legend of Dark Witch Episode 2 -The Price of Desire-,30536,0,0,0,0,0,0,0,0,0,0,0
111,The Hanged Man,56035,0,0,0,0,0,0,0,0,0,0,0
112,Resident Evil: Revelations 2 - Episode 1: Penal Colony,82435,0,0,1,0,1,0,1,0,0,0,0
113,Underhero,36652,0,1,0,2,0,1,0,2,1,2,2
114,Metal Fatigue,24128,0,0,0,0,0,0,0,0,0,0,0
115,"Monsters, Inc. Scream Team",6514,0,0,0,0,0,0,0,0,0,0,0
116,Perseverance: Part 1,103226,0,0,0,0,0,0,0,0,0,0,0
117,Super Knockoff! VS,81131,0,0,0,0,0,0,0,0,0,0,0
118,Keeper of the Sun and Moon,120840,0,0,0,0,0,0,0,0,0,0,0
119,Chip,7597,0,0,0,0,0,0,0,0,0,0,0
120,Keyg,108385,0,0,0,0,0,0,0,0,0,0,0
121,Divinity: Original Sin II,11800,0,0,0,0,0,0,0,0,0,0,0
122,Blood Knights,8421,1,0,0,0,1,0,0,0,0,0,0
123,Vegas: Make It Big,15725,0,1,0,1,0,1,0,0,1,1,1
124,Rogue Fable III,113389,0,0,0,0,0,0,0,0,0,0,0
125,A Place for the Unwilling,18653,0,0,0,0,0,0,0,0,0,0,0
126,The Musketeers: Victoria's Quest,34759,0,0,0,0,0,0,0,0,0,0,0
127,Realms of Arkania: Blade of Destiny,27345,0,0,0,0,0,0,0,0,0,0,0
128,The Dark Legions,32361,0,1,0,1,0,2,0,1,1,1,1
129,Perfect World,8747,0,0,1,1,0,1,1,1,1,1,1
130,Noctropolis,12327,0,1,0,0,0,0,0,0,0,0,0
131,Full Mojo Rampage,16447,0,0,0,0,0,0,0,0,0,0,0
132,Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectoral,2908,1,1,0,1,1,0,0,0,1,1,1
133,Metal Gear Solid 3: Snake Eater - HD Edition,99821,0,0,0,0,0,0,0,0,0,0,0
134,Dead Space 2,38,0,3,3,3,0,3,3,3,3,3,3
135,Disney Fairies: Tinker Bell's Adventure,50099,0,0,0,0,0,0,0,0,0,0,0
136,Caesar III,6332,0,0,0,0,0,0,0,0,0,0,0
137,There Was a Caveman,34339,0,0,1,0,0,1,1,1,0,0,0
138,Mad Tower Tycoon,107423,1,1,0,1,1,1,0,1,1,1,1
139,CSI: 3 Dimensions of Murder,7633,1,1,0,1,1,1,0,1,1,1,1
140,Dark Deception,61859,0,0,0,0,0,0,0,0,0,0,0
141,La-Mulana 2,7937,0,1,1,1,0,1,1,1,2,1,1
142,Vampire Survivors,186725,0,0,0,2,0,0,0,0,2,2,2
143,Curse of Anabelle,122826,0,0,0,0,0,0,0,0,0,0,0
144,Romance of the Three Kingdoms IX with Power Up Kit,74684,0,0,0,0,0,0,0,0,0,0,0
145,Lunch Truck Tycoon,35118,0,0,0,0,0,0,0,0,0,0,0
146,You Suck at Parking,138884,0,1,1,1,0,0,1,0,1,1,1
147,I Walk Among Zombies Vol. 1,113067,0,0,0,0,0,0,0,0,0,0,0
148,Humans Must Answer,16809,0,0,0,0,0,0,0,0,0,0,0
149,Head Goal: Soccer Online,54447,0,0,0,0,0,0,0,0,0,0,0
150,Super Arcade Football,19084,0,0,0,0,0,0,0,1,0,0,0
151,Banishers: Ghosts of New Eden,228539,0,0,1,0,0,0,1,0,0,0,0
152,D Series Off Road Driving Simulation,35478,0,0,0,0,0,0,0,0,0,0,0
153,Unravel Two,19241,2,1,0,1,2,1,0,1,1,1,1
154,Faith of Danschant,83339,0,0,0,0,0,0,0,1,0,0,0
155,The Hobbit,3946,0,1,1,1,0,1,1,1,1,1,1
156,Beholder 3,186882,0,0,0,0,0,0,0,0,0,0,0
157,Dragon's Dungeon: Awakening,55540,0,0,0,0,0,0,0,0,0,0,0
158,Farabel,24965,1,0,0,0,1,0,0,0,0,0,0
159,Mega Man 9,1722,1,2,2,2,1,2,2,2,2,2,2
160,Your Royal Gayness,83988,0,0,0,0,0,0,0,0,0,0,0
161,Defend Your Castle,21359,0,0,0,0,0,0,0,0,0,0,0
162,The Chant,152076,1,0,1,0,1,0,1,1,0,0,0
163,Xenus 2: White gold,30872,0,0,0,0,0,0,0,0,0,0,0
164,Jade Empire,5867,0,0,0,0,0,0,0,0,0,0,0
165,Last Encounter,80927,0,0,0,0,0,0,0,0,0,0,0
166,Ninjahtic,34887,0,0,0,0,0,0,0,0,0,0,0
167,Trials of Mana,119391,1,0,1,0,1,0,1,0,0,0,0
168,Kaiju Big Battel: Fighto Fantasy,29075,0,0,0,3,0,0,0,0,3,3,3
169,Rayman,193321,0,0,1,1,0,0,1,2,1,1,1
170,Disney Classic Games: Aladdin and The Lion King,122082,0,0,0,0,0,0,0,0,0,0,0
171,Catastronauts,96322,0,0,0,1,1,0,0,1,1,1,1
172,Princess Evangile,35882,1,2,1,2,1,2,1,2,2,2,2
173,Thief Simulator,61616,0,0,0,0,0,0,0,0,0,0,0
174,Primal Carnage: Extinction,17804,0,0,0,0,0,0,0,0,0,0,0
175,Mr. Bree+,16852,0,0,0,0,0,0,0,0,0,0,0
176,Ticket to Ride: First Journey,69654,0,0,0,0,0,0,0,0,0,0,0
177,Victor Vran,9180,0,0,0,0,0,0,0,1,0,0,0
178,Tekken 7,7498,1,1,1,2,1,2,1,2,2,2,2
179,Valkyria Chronicles 4,75848,1,1,0,1,1,1,0,1,1,1,1
180,Defense Zone 3 Ultra HD,36205,0,0,0,0,0,0,0,0,0,0,0
181,"Eat, Sleep, Bet, Repeat",68167,0,0,0,0,0,0,0,0,0,0,0
